corrAns,tilt,key_resp.corr
left,-10,1
left,-8,0
left,-9,1
left,-9,0
right,10,1
right,10,0
left,-11,0
right,12,0
right,13,1
right,13,0
left,-14,0
left,-15,0
left,-16,1
left,-16,0
left,-17,0
left,-18,0
right,19,0
left,-20,1
left,-20,0
left,-20,0
right,20,0
right,20,1
left,-20,1
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,1
right,20,0
left,-20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,0
right,20,1
left,-20,0
left,-20,1
left,-20,0
right,20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,0
left,-20,1
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,0
right,20,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,1
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,0
left,-20,1
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,1
left,-20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,1
right,20,0
right,20,1
right,20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
left,-20,1
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,1
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
left,-20,0
right,20,0
right,20,1
right,20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,1
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
left,-20,1
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
left,-20,1
right,20,0
right,20,0
right,20,0
right,20,1
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,1
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
left,-20,1
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,1
right,20,0
left,-20,0
right,20,1
right,20,0
left,-20,0
left,-20,0
left,-20,1
right,20,1
left,-20,1
left,-19,0
left,-19.5,1
left,-19.5,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
left,-20,0
left,-20,1
left,-20,0
right,20,0
right,20,1
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,0
left,-20,0
left,-20,1
right,20,1
right,20,0
left,-20,1
left,-20,0
right,20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,1
left,-20,0
right,20,0
right,20,1
right,20,0
left,-20,0
right,20,1
right,20,0
left,-20,0
left,-20,1
left,-20,0
right,20,0
right,20,1
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,1
right,20,0
left,-20,0
left,-20,0
left,-20,0
right,20,1
right,20,0
right,20,0
left,-20,1
left,-20,0
left,-20,1
right,20,0
left,-20,0
right,20,1
right,20,1
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
left,-20,0
left,-20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
right,20,0
left,-20,0
right,20,0
right,20,1
left,-20,1
left,-20,1
